Código de Referencia,Nombre del Producto,Descripción,Talles,Colores,Precio Lista,Efectivo,Fotos Cargadas ✅,Link Carpeta Drive
4025108OV,Buzo ZABA,Buzo oversize canguro con estampa,S - M - L - XL,BLANCO,$88.600,$68.200,TRUE,Buzo Zaba
558,Gorra gabardina,Gorra de gabardina bordada,,Negro,$44.500,$34.200,TRUE,558
4025096BF,Buzo Kal,Buzo de corte boxy fit en degrade ,S-M-L,NEGRO,$103.200,$79.400,TRUE,4025096BF
4025096BF,Buzo Kal,Buzo de corte boxy fit en degrade ,S-M-L,BEIGE,$103.200,$79.400,TRUE,4025096BF (1)
7025087,Sweater Agner,Sweater tejido a dos tonos,S-M-L,NEGRO,$99.800,$76.800,TRUE,7025087
7025087,Sweater Agner,Sweater tejido a dos tonos,S-M-L,NEGRO,$99.800,$76.800,TRUE,7025087 (1)
4025036BF,Buzo Noshaq,Buzo de corte boxy fit en degrade ,S-M-L,BEIGE,$103.200,$79.400,TRUE,4025036BF
4025036BF,Buzo Noshaq,Buzo de corte boxy fit en degrade ,S-M-L,BEIGE,$103.200,$79.400,TRUE,4025036BF (1)
4025096BF,Buzo Kal,Buzo de corte boxy fit en degrade ,S-M-L,NEGRO,$103.200,$79.400,TRUE,4025096BF (2)
4025108OV,Buzo Zaba,Buzo de corte oversize de friza,S - M - L - XL,BLANCO,$88.600,$68.200,TRUE,4025108OV (1)
4025108OV,Buzo Zaba,Buzo de corte oversize de friza,S - M - L - XL,BLANCO,$88.600,$68.200,TRUE,Buzo Zaba (1)
3025130,Campera Hubbard,Campera estilo pufer con capucha escondida,S-M-L-XL,NEGRO,$121.000,$93.600,TRUE,3025130
3025130,Campera Hubbard,Campera estilo pufer con capucha escondida,S-M-L-XL,NEGRO,$121.000,$93.600,TRUE,3025130 (1)
80016V,Campera de abrigo,Campera inflable con interior interno de frisa,M-L-XL,MARRÓN,$143.000,$110.000,TRUE,80016V
80016V,Campera de abrigo,Campera inflable con interior interno de frisa,M-L-XL,MARRÓN,$143.000,$110.000,TRUE,80016V (1)
3025105,Campera Bert,Campera tipo polar con interior de piel,M-L,NEGRO,$101.000,$77.800,TRUE,3025105
3025105,Campera Bert,Campera tipo polar con interior de piel,M-L,NEGRO,$101.000,$77.800,TRUE,3025105 (1)
3025105,Campera Bert,Campera tipo polar con interior de piel,M-L,BEIGE,$101.000,$77.800,TRUE,3025105 (2)
3025105,Campera Bert,Campera tipo polar con interior de piel,M-L,BEIGE,$101.000,$77.800,TRUE,3025105 (3)
